day of year,jimbaran_clim,jimbaran_p90,nusadua_clim,nusadua_p90,sanur_clim,sanur_p90
170,29.1616642778480,30.0014186982186,29.0906435710549,29.9365155743014,29.0237417128147,29.9329025514664
171,29.1561104068354,29.9877412734493,29.0840897921435,29.9239994664346,29.0158086911516,29.9195477147256
172,29.1506104559967,29.9738057782573,29.0777611588588,29.9116768498575,29.0082190609871,29.9050315610824
173,29.1449260372457,29.9605799521169,29.0714136076204,29.8990961628575,29.0009321458698,29.8899992665937
174,29.1387052455718,29.9483864322785,29.0647141506494,29.8861929493566,28.9935704971846,29.8735476463072
175,29.1323349889276,29.9372896502095,29.0580373980016,29.8736768414897,28.9864330468572,29.8572895788377
176,29.1259637851948,29.9263219033518,29.0515252455171,29.8614188040456,28.9796484482682,29.8410315113683
177,29.1189795831398,29.9147734980429,29.0447188920391,29.8477413792764,28.9728231721452,29.8251605495330
178,29.1112291337683,29.9014186613021,29.0374300858120,29.8332897432389,28.9657746436704,29.8083863412180
179,29.1026509483178,29.8856121555451,29.0295424718932,29.8179994029384,28.9583070439429,29.7903863230059
180,29.0932980014973,29.8694831232871,29.0209084753394,29.8030961436610,28.9501365778541,29.7715476128363
181,29.0827332486629,29.8527089149721,29.0110494294102,29.7872896625150,28.9407382234698,29.7525153498496
182,29.0711052093203,29.8359347066572,28.9999719548841,29.7714831813689,28.9300968446949,29.7329024284117
183,29.0586976791193,29.8189670070525,28.9880355257217,29.7547735275761,28.9185567806577,29.7129024013396
184,29.0457878323899,29.8009025081511,28.9755636680184,29.7369670990975,28.9063933131350,29.6923217404273
185,29.0327077085592,29.7827089740384,28.9628619355608,29.7186444928569,28.8939025353127,29.6709669051632
186,29.0196890738522,29.7647735103484,28.9502434491006,29.7014186613021,28.8814089189312,29.6501282107446
187,29.0063629944292,29.7474187051096,28.9374499567725,29.6843218649587,28.8688528681419,29.6319346766318
188,28.9925847348083,29.7301929350822,28.9243102333041,29.6681283150950,28.8561965427068,29.6148378802884
